ID;URL;Name;NameWithOwner;Stargazers;PullRequests;AcceptedPullRequests;Releases;PrimaryLanguage;createdAt;updatedAt;closedIssues;totalIssues
MDEwOlJlcG9zaXRvcnkxMzI0NjQzOTU=;https://github.com/Snailclimb/JavaGuide;JavaGuide;Snailclimb/JavaGuide;131516;1026;776;0;Java;2018-05-07T13:27:00Z;2023-03-04T12:00:03Z;793;859
MDEwOlJlcG9zaXRvcnkxMjM0NTg1NTE=;https://github.com/jackfrued/Python-100-Days;Python-100-Days;jackfrued/Python-100-Days;131416;314;12;0;Python;2018-03-01T16:05:52Z;2023-02-05T16:59:39Z;102;596
MDEwOlJlcG9zaXRvcnkzNjYzMzM3MA==;https://github.com/awesome-selfhosted/awesome-selfhosted;awesome-selfhosted;awesome-selfhosted/awesome-selfhosted;122521;2664;2101;0;Makefile;2015-06-01T02:33:17Z;2023-03-01T19:11:52Z;710;765
MDEwOlJlcG9zaXRvcnkxMDM5NTIw;https://github.com/ytdl-org/youtube-dl;youtube-dl;ytdl-org/youtube-dl;118342;4821;1601;341;Python;2010-10-31T14:35:07Z;2023-03-03T15:02:15Z;21778;25616
MDEwOlJlcG9zaXRvcnkyNDE1NzYyNzA=;https://github.com/labuladong/fucking-algorithm;fucking-algorithm;labuladong/fucking-algorithm;114362;419;210;1;Markdown;2020-02-19T09:01:23Z;2023-03-03T09:53:30Z;424;496
MDEwOlJlcG9zaXRvcnkyMzA5Njk1OQ==;https://github.com/golang/go;go;golang/go;109051;2860;1;0;Go;2014-08-19T04:33:40Z;2023-03-04T00:00:01Z;46868;54740
MDEwOlJlcG9zaXRvcnkxMTI1MDcwODY=;https://github.com/30-seconds/30-seconds-of-code;30-seconds-of-code;30-seconds/30-seconds-of-code;108274;1483;754;4;JavaScript;2017-11-29T17:35:03Z;2023-02-18T21:15:21Z;277;277
MDEwOlJlcG9zaXRvcnkyOTAyODc3NQ==;https://github.com/facebook/react-native;react-native;facebook/react-native;107986;11955;660;241;JavaScript;2015-01-09T18:10:16Z;2023-03-04T01:06:58Z;22030;24004
MDEwOlJlcG9zaXRvcnk5Mzg0MjY3;https://github.com/electron/electron;electron;electron/electron;106162;18764;16573;1000;C++;2013-04-12T01:47:36Z;2023-03-03T08:42:50Z;17198;18056
MDEwOlJlcG9zaXRvcnk5NDMxNDk=;https://github.com/d3/d3;d3;d3/d3;104540;1114;439;190;JavaScript;2010-09-27T17:22:42Z;2023-01-18T18:34:09Z;2129;2134
MDEwOlJlcG9zaXRvcnk3MDEwNzc4Ng==;https://github.com/vercel/next.js;next.js;vercel/next.js;101816;14723;11660;1000;JavaScript;2016-10-05T23:32:51Z;2023-03-05T00:58:15Z;14079;15329
MDEwOlJlcG9zaXRvcnkxNDA5ODA2OQ==;https://github.com/justjavac/free-programming-books-zh_CN;free-programming-books-zh_CN;justjavac/free-programming-books-zh_CN;100225;451;280;3;;2013-11-04T01:59:19Z;2022-06-13T03:25:12Z;0;0
MDEwOlJlcG9zaXRvcnkyMzA4ODc0MA==;https://github.com/axios/axios;axios;axios/axios;99050;1330;728;57;JavaScript;2014-08-18T22:30:27Z;2023-02-22T21:05:31Z;3784;4116
MDEwOlJlcG9zaXRvcnk2MzUzNzI0OQ==;https://github.com/facebook/create-react-app;create-react-app;facebook/create-react-app;99015;4124;1942;83;JavaScript;2016-07-17T14:55:11Z;2022-09-08T07:40:47Z;6464;7998
MDEwOlJlcG9zaXRvcnkyMTU0MDc1OQ==;https://github.com/avelino/awesome-go;awesome-go;avelino/awesome-go;97443;4164;2913;0;Go;2014-07-06T13:42:15Z;2023-02-28T20:05:58Z;526;554
MDEwOlJlcG9zaXRvcnkyMDU4MDQ5OA==;https://github.com/kubernetes/kubernetes;kubernetes;kubernetes/kubernetes;96371;73472;54259;587;Go;2014-06-06T22:56:04Z;2023-03-04T04:17:06Z;40974;42587
MDEwOlJlcG9zaXRvcnkyNzE5Mzc3OQ==;https://github.com/nodejs/node;node;nodejs/node;93726;29731;5772;333;JavaScript;2014-11-26T19:57:11Z;2023-03-04T23:15:29Z;14349;15639
